Title,Price,Package Sizing,Category
"Fat Free Greek Yogurt, Cherry Flavour, Fruit On The Bottom, 0% M.F.",3.33,"4x100.0 g, $1.15/100g",yogurt
"Yogurt With Probiotics, Blueberry Flavour",3.89,"650 g, $0.68/100g",yogurt
Vanilla Greek Yogurt,5.00,"750 g, $0.67/100g",yogurt
"Probiotic Yogurt, Raspberry/Apple/Blackberry/Strawberry Flavour, 12XG",5.50,"12x100.0 g, $0.46/100g",yogurt
"Yop 1% Drinkable Yogurt, Peach, Yogurt Drink",1.29,"200 ml, $0.65/100ml",yogurt
Cilantro,1.39,"1 bunch, $1.39/1ea",southAsian
Roma Tomatoes,0.66,$5.49/1kg $2.49/1lb,southAsian
Ginger,0.78,$3.70/1kg $1.68/1lb,southAsian
"Garlic Bulbs, 3-count",0.99,"90 g, $0.33/1ea",southAsian
Mango,1.99,"1 ea, $1.99/1ea",southAsian
Colossal Garlic,1.21,$12.10/1kg $5.49/1lb,southAsian
Ataulfo Mango,1.47,"1 ea, $1.47/1ea",southAsian
"Red Onions, 3 lb Bag",6.99,"1.36 kg, $0.51/100g",southAsian
Purple Eggplants,3.13,$5.49/1kg $2.49/1lb,southAsian
Roma Tomatoes,5.99,"1 ea, $0.44/100g",southAsian
"Spinach, Bunched",2.49,"1 ea, $2.49/1ea",southAsian
Long Eggplants,1.09,$4.37/1kg $1.98/1lb,southAsian
Garlic Bulbs,6.50,"1 kg, $0.65/100g",southAsian
"Mint, Fresh",1.99,"1 bunch, $1.99/1ea",southAsian
Organic Garlic,3.99,"115 g, $3.47/100g",southAsian
"Naan Original Flatbreads, 10 pack",5.00,"1 ea, $5.00/1ea",southAsian
Naan Original 5 Flatbreads,3.99,"500 g, $0.80/100g",southAsian
Naan Garlic Flatbreads,5.00,"1 kg, $0.50/100g",southAsian
Naan Garlic 5 Flatbreads,3.99,"500 g, $0.80/100g",southAsian
Okra,0.88,$8.80/1kg $3.99/1lb,southAsian
Opo Squash,3.18,$5.05/1kg $2.29/1lb,southAsian
"Mango Ataulfo, case",9.99,"1 ea, $9.99/1ea",southAsian
